"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","AUTH-01 Verify signup with valid data","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2","LOGIN-04 Invalid Email Formatrahul#gmail.com","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","1999","PRODUCT-01 Verify product page opens","chromium","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","2","PRODUCT-08 Verify add to cart","webkit","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","2","LOGIN-04 Invalid Email Format@gmail.com","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","4918","AUTH-03 Invalid Email Loginrahulgmail.com","firefox","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","3557","LOGIN-04 Invalid Email Format@gmail.com","firefox","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","3538","PRODUCT-10 Verify add to Compare","firefox","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","4700","LOGIN-02 Invalid login","firefox","2026-05-29","passed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","4109","AUTH-03 Invalid Email Login@gmail.com","firefox","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","3895","AUTH-06 Invalid Name","chromium","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2","SEARCH-06 Product Title Visible","webkit","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2","AUTH-03 Invalid Email Loginrahulgmail.com","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","4194","AUTH-03 Invalid Email Loginrahul#gmail.com","firefox","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","3504","AUTH-03 Invalid Email Loginrahul#gmail.com","chromium","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2","LOGIN-05 Verify LogOut","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","2","SEARCH-02 Invalid Searchshirt123","webkit","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2","AUTH-04 Empty Mandatory Fields","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2251","PRODUCT-02 Verify product title","chromium","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","2","SEARCH-03 Partial Search","webkit","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","3442","AUTH-03 Invalid Email Loginrahul@@gmail.com","chromium","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","3654","LOGIN-04 Invalid Email Formatrahul gmail@gmail.com","firefox","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","1898","PRODUCT-06 Verify Colour Selector","chromium","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","2","AUTH-03 Invalid Email Login@gmail.com","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2284","SEARCH-02 Invalid Search1234","chromium","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2309","PRODUCT-10 Verify add to Compare","chromium","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","3653","LOGIN-01 valid login","firefox","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","1921","SEARCH-01 valid SearchShirt","chromium","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2269","SEARCH-02 Invalid Searchshirt123","chromium","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2015","SEARCH-03 Partial Search","chromium","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2248","PRODUCT-09 Verify add to WishList","chromium","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","2557","LOGIN-04 Invalid Email Formatrahul@gmail","chromium","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","2929","LOGIN-04 Invalid Email Format@gmail.com","chromium","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","4200","AUTH-03 Invalid Email Loginrahul gmail@gmail.com","firefox","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2","LOGIN-04 Invalid Email Formatrahul.com","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","3760","LOGIN-04 Invalid Email Formatrahulgmail.com","firefox","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","2","PRODUCT-02 Verify product title","webkit","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","2","SEARCH-04 Product Price Visible","webkit","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2","AUTH-03 Invalid Email Loginrahul#gmail.com","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2291","SEARCH-04 Product Price Visible","chromium","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2","LOGIN-01 valid login","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","3284","LOGIN-02 Invalid login","chromium","2026-05-29","passed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","2","PRODUCT-03 Verify product Price","webkit","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","2292","SEARCH-01 valid SearchsHIRT","chromium","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2","AUTH-05 Password Mismatch","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2","PRODUCT-06 Verify Colour Selector","webkit","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","1909","SEARCH-01 valid SearchSHIRT","chromium","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2","PRODUCT-07 Verify quantity update","webkit","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","2","SEARCH-01 valid SearchSHIRT","webkit","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","3588","AUTH-03 Invalid Email Loginrahulgmail.com","chromium","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2","AUTH-03 Invalid Email Loginrahul@@gmail.com","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2","SEARCH-02 Invalid Search1234","webkit","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","3560","PRODUCT-04 Verify product Image","firefox","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","5358","AUTH-06 Invalid Name","firefox","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","3583","SEARCH-02 Invalid Search1234","firefox","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","3588","AUTH-03 Invalid Email Login@gmail.com","chromium","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2053","SEARCH-02 Invalid Searchfgdjy","chromium","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2","PRODUCT-04 Verify product Image","webkit","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","2241","SEARCH-01 valid Searchshirt","chromium","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","3481","PRODUCT-08 Verify add to cart","firefox","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","2408","AUTH-04 Empty Mandatory Fields","chromium","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","3619","LOGIN-04 Invalid Email Formatrahul.com","firefox","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","3795","LOGIN-04 Invalid Email Formatrahul@gmail","firefox","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","2438","LOGIN-04 Invalid Email Formatrahulgmail.com","chromium","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","2","AUTH-03 Invalid Email Loginrahul@gmail","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","1884","SEARCH-05 Product Image Visible","chromium","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2","SEARCH-05 Product Image Visible","webkit","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2","SEARCH-01 valid SearchsHIRT","webkit","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2303","PRODUCT-03 Verify product Price","chromium","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","3707","SEARCH-04 Product Price Visible","firefox","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","2334","PRODUCT-08 Verify add to cart","chromium","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","3498","PRODUCT-01 Verify product page opens","firefox","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","3496","LOGIN-05 Verify LogOut","firefox","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","3623","AUTH-05 Password Mismatch","chromium","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2169","PRODUCT-05 Verify Size Selector","chromium","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","2","SEARCH-01 valid SearchShirt","webkit","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","3473","AUTH-03 Invalid Email Loginrahul@gmail","chromium","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2","PRODUCT-01 Verify product page opens","webkit","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","4094","AUTH-03 Invalid Email Loginrahul.com","firefox","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","3549","AUTH-03 Invalid Email Loginrahul gmail@gmail.com","chromium","2026-05-29","passed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2","PRODUCT-11 Verify Add Your Review","webkit","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","2317","SEARCH-02 Invalid Search!@#$","chromium","2026-05-29","failed","2026-05-29","Search & Discovery","Search discovery/search.spec.js","",""
"","3781","LOGIN-04 Invalid Email Formatrahul@.com","firefox","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","3978","AUTH-02 Signup with Existing Email","firefox","2026-05-29","failed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
"","2463","LOGIN-04 Invalid Email Formatrahul@@gmail.com","chromium","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","2197","PRODUCT-07 Verify quantity update","chromium","2026-05-29","failed","2026-05-29","Product","Product Page/product.spec.js","",""
"","2","LOGIN-02 Invalid login","webkit","2026-05-29","failed","2026-05-29","AUTHENTICATION Login Test","Authentication/login.spec.js","",""
"","2720","AUTH-02 Signup with Existing Email","chromium","2026-05-29","failed","2026-05-29","AUTHENTICATION SIGNUP TEST","Authentication/signup.spec.js","",""
